Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2021-05-24 15:50:00,2021-05-24 20:50:00,130.0,113.0,16.8,28.1,29.6,71,1014.9,0,402,
2021-05-24 15:40:00,2021-05-24 20:40:00,121.0,131.0,19.9,30.4,29.5,72,1014.9,0,503,
2021-05-24 15:30:00,2021-05-24 20:30:00,134.0,155.0,14.1,28.7,28.8,76,1015,0,447,
2021-05-24 15:20:00,2021-05-24 20:20:00,129.0,120.0,16.2,28.1,29.4,73,1015,0,208,
2021-05-24 15:10:00,2021-05-24 20:10:00,100.0,88.0,21.3,33.3,29.7,72,1015,0,424,
2021-05-24 15:00:00,2021-05-24 20:00:00,100.0,98.0,22.6,29.8,29.8,70,1015,0,369,
2021-05-24 14:50:00,2021-05-24 19:50:00,107.0,108.0,18.7,29.2,29.7,71,1015.1,0,569,
2021-05-24 14:40:00,2021-05-24 19:40:00,111.0,106.0,18.4,27.5,29.2,72,1015.2,0,387,
2021-05-24 14:30:00,2021-05-24 19:30:00,105.0,97.0,20,29.8,29.3,70,1015.4,0,347,
2021-05-24 14:20:00,2021-05-24 19:20:00,106.0,111.0,20.5,32.1,29.9,68,1015.5,0,447,
2021-05-24 14:10:00,2021-05-24 19:10:00,107.0,111.0,18.9,26.9,29.8,70,1015.6,0,592,
2021-05-24 14:00:00,2021-05-24 19:00:00,104.0,106.0,22,31,29.5,71,1015.6,0,478,
2021-05-24 13:50:00,2021-05-24 18:50:00,109.0,112.0,17.7,31,29.5,71,1015.7,0,390,
2021-05-24 13:40:00,2021-05-24 18:40:00,110.0,105.0,19.2,29.8,30,69,1015.9,0,380,
2021-05-24 13:30:00,2021-05-24 18:30:00,110.0,129.0,15.5,27.5,29.7,72,1016,0,605,
2021-05-24 13:20:00,2021-05-24 18:20:00,99.0,105.0,19.1,25.2,29.7,71,1016.2,0,722,
2021-05-24 13:10:00,2021-05-24 18:10:00,96.0,104.0,20.9,28.7,30.1,70,1016.3,0,710,
2021-05-24 13:00:00,2021-05-24 18:00:00,107.0,98.0,18.5,25.2,29.8,71,1016.4,0,821,
2021-05-24 12:50:00,2021-05-24 17:50:00,95.0,102.0,22.5,31,29.8,72,1016.4,0,927,
2021-05-24 12:40:00,2021-05-24 17:40:00,104.0,105.0,20.9,30.4,30,71,1016.5,0,967,
2021-05-24 12:30:00,2021-05-24 17:30:00,113.0,105.0,17.1,28.7,29.4,72,1016.6,0,886,
2021-05-24 12:20:00,2021-05-24 17:20:00,108.0,97.0,20.9,31,29.3,70,1016.6,0,506,
2021-05-24 12:10:00,2021-05-24 17:10:00,117.0,103.0,19.3,29.2,30,69,1016.7,0,499,
2021-05-24 12:00:00,2021-05-24 17:00:00,117.0,114.0,19.8,32.1,30.3,70,1016.8,0,828,
2021-05-24 11:50:00,2021-05-24 16:50:00,112.0,106.0,20.8,31,30.1,70,1016.8,0,930,
2021-05-24 11:40:00,2021-05-24 16:40:00,117.0,99.0,19,32.1,30.2,69,1016.9,0,713,
2021-05-24 11:30:00,2021-05-24 16:30:00,116.0,116.0,21.4,33.3,29.8,71,1016.9,0,959,
2021-05-24 11:20:00,2021-05-24 16:20:00,118.0,124.0,18.3,28.1,29.5,70,1016.9,0,507,
2021-05-24 11:10:00,2021-05-24 16:10:00,105.0,105.0,20.8,29.2,29.9,68,1016.9,0,535,
2021-05-24 11:00:00,2021-05-24 16:00:00,105.0,97.0,19.4,28.7,30.1,68,1017,0,807,
2021-05-24 10:50:00,2021-05-24 15:50:00,114.0,112.0,17.8,26.9,29.2,69,1017,0,663,
2021-05-24 10:40:00,2021-05-24 15:40:00,102.0,104.0,23.6,32.7,29.5,67,1017,0,428,
2021-05-24 10:30:00,2021-05-24 15:30:00,108.0,117.0,18.8,29.2,30.7,64,1016.9,0,684,
2021-05-24 10:20:00,2021-05-24 15:20:00,114.0,108.0,19,29.8,30.6,65,1016.9,0,881,
2021-05-24 10:10:00,2021-05-24 15:10:00,119.0,108.0,18.8,31.6,30.6,65,1016.9,0,835,
